municipality;state;partOfCountry;loan
Oost Gelre;Gelderland;Oost-Nederland;Starterslening
Oosterhout;Noord-Brabant;Zuid-Nederland;SVn Starterslening
Ooststellingwerf;Fryslân;Noord-Nederland;Starterslening
Oostzaan;Noord-Holland;West-Nederland;SVn Starterslening
Opmeer;Noord-Holland;West-Nederland;Starterslening
Opsterland;Fryslân;Noord-Nederland;Starterslening
Oude IJsselstreek;Gelderland;Oost-Nederland;Starterslening
Ouder-Amstel;Noord-Holland;West-Nederland;Starterslening
Oudewater;Utrecht;West-Nederland;Starterslening
Overbetuwe;Gelderland;Oost-Nederland;Starterslening
Papendrecht;Zuid-Holland;West-Nederland;Starterslening
Peel en Maas;Limburg;Zuid-Nederland;Starterslening
Pijnacker-Nootdorp;Zuid-Holland;West-Nederland;Starterslening
Purmerend;Noord-Holland;West-Nederland;Starterslening
Putten;Gelderland;Oost-Nederland;Starterslening
Raalte;Overijssel;Oost-Nederland;Starterslening
Reimerswaal;Zeeland;West-Nederland;Starterslening
Renkum;Gelderland;Oost-Nederland;Starterslening
Renswoude;Utrecht;West-Nederland;Starterslening
Rhenen;Utrecht;West-Nederland;Starterslening
Ridderkerk;Zuid-Holland;West-Nederland;SVn Starterslening
Rijssen-Holten;Overijssel;Oost-Nederland;Starterslening
Roerdalen;Limburg;Zuid-Nederland;Starterslening
Roermond;Limburg;Zuid-Nederland;Starterslening
Roosendaal;Noord-Brabant;Zuid-Nederland;Starterslening
Rotterdam;Zuid-Holland;West-Nederland;Starterslening
Rucphen;Noord-Brabant;Zuid-Nederland;Starterslening
Schagen;Noord-Holland;West-Nederland;Starterslening
Scherpenzeel;Gelderland;Oost-Nederland;Starterslening
Schiedam;Zuid-Holland;West-Nederland;SVn Starterslening
Schouwen-Duiveland;Zeeland;West-Nederland;Starterslening
Simpelveld;Limburg;Zuid-Nederland;Starterslening
Sint-Michielsgestel;Noord-Brabant;Zuid-Nederland;Starterslening
Sittard-Geleen;Limburg;Zuid-Nederland;Starterslening
Sliedrecht;Zuid-Holland;West-Nederland;Starterslening
Sluis;Zeeland;West-Nederland;Starterslening
Smallingerland;Fryslân;Noord-Nederland;Corporatie Starterslening
Soest;Utrecht;West-Nederland;Starterslening
Someren;Noord-Brabant;Zuid-Nederland;Starterslening
Son en Breugel;Noord-Brabant;Zuid-Nederland;Starterslening
Stadskanaal;Groningen;Noord-Nederland;Starterslening
Staphorst;Overijssel;Oost-Nederland;Starterslening
Stede Broec;Noord-Holland;West-Nederland;Starterslening
Steenbergen;Noord-Brabant;Zuid-Nederland;Starterslening
Steenwijkerland;Overijssel;Oost-Nederland;Starterslening
Stichtse Vecht;Utrecht;West-Nederland;Starterslening MET DUOKOOP
Stichtse Vecht;Utrecht;West-Nederland;Starterslening
Súdwest-Fryslân;Fryslân;Noord-Nederland;Corporatie Starterslening
Terschelling;Fryslân;Noord-Nederland;Starterslening
Texel;Noord-Holland;West-Nederland;Starterslening
Teylingen;Zuid-Holland;West-Nederland;Starterslening
Tholen;Zeeland;West-Nederland;Starterslening
Tiel;Gelderland;Oost-Nederland;Starterslening
Tilburg;Noord-Brabant;Zuid-Nederland;Starterslening Stad Energieneutraal en NOM
Tilburg;Noord-Brabant;Zuid-Nederland;Starterslening Stad
Tilburg;Noord-Brabant;Zuid-Nederland;Starterslening Dorpen Energieneutraal en NOM
Tilburg;Noord-Brabant;Zuid-Nederland;Starterslening Dorpen
Tubbergen;Overijssel;Oost-Nederland;Starterslening
Twenterand;Overijssel;Oost-Nederland;Starterslening
Tynaarlo;Drenthe;Noord-Nederland;Starterslening
Uitgeest;Noord-Holland;West-Nederland;Starterslening
Uithoorn;Noord-Holland;West-Nederland;Starterslening
Urk;Flevoland;Oost-Nederland;Starterslening
Utrechtse Heuvelrug;Utrecht;West-Nederland;Starterslening
Vaals;Limburg;Zuid-Nederland;Starterslening
Valkenburg aan de Geul;Limburg;Zuid-Nederland;Starterslening
Valkenswaard;Noord-Brabant;Zuid-Nederland;Starterslening
Veenendaal;Utrecht;West-Nederland;Starterslening
Veere;Zeeland;West-Nederland;Starterslening
Veldhoven;Noord-Brabant;Zuid-Nederland;SVn Starterslening
Velsen;Noord-Holland;West-Nederland;Starterslening Velsen
Venlo;Limburg;Zuid-Nederland;Starterslening
Venray;Limburg;Zuid-Nederland;Starterslening
